Input,Output
Hillary Clinton makes me sick. <sep> Why? She seems to be nice person,She lies and steals money.
Hillary Clinton makes me sick. <sep> Why? She seems to be nice person <sep> She lies and steals money.,Oh I didn't know about that. How she is able to steal money?
"I receive my blood test result yesterday and I am so grateful that I don't any immune system diseases.""",That is great.
"blood test result yesterday and I am so grateful that I don't any immune system diseases."" <sep> That is great.",The doctor made worry a lot because it seems that all the symptoms that I have matches an immune system disease. I am happy it is not.
it seems that all the symptoms that I have matches an immune system disease. I am happy it is not.,Hopefully it will work out.
I am happy its almost the weekend.,Good for you.What is the reason of all this happiness?
I am happy its almost the weekend. <sep> Good for you.What is the reason of all this happiness?,I am going to the beach this weekend.
<sep> Good for you.What is the reason of all this happiness? <sep> I am going to the beach this weekend.,You choose the best time.The summer is perfect for beaches.
I am so surprised England lost to Croatia.,Yes. They should of won.
I am so surprised England lost to Croatia. <sep> Yes. They should of won.,I thought they were gonna win at all.Fist title since 1966
to Croatia. <sep> Yes. They should of won. <sep> I thought they were gonna win at all.Fist title since 1966,Yes but the choked like usual.
I am embarrassed to be a fan of the Cleveland Browns.,I would be as well if I were you. Are you from the area?
fan of the Cleveland Browns. <sep> I would be as well if I were you. Are you from the area?,Yes. I grew up in the city.
be as well if I were you. Are you from the area? <sep> Yes. I grew up in the city.,wasn't Johnny Manziel susposed to save that team?
I am afraid of heights.,I'm not a big fan of them either.  Are you able to go up in buildings with an elevator_comma_ etc..?
not a big fan of them either.  Are you able to go up in buildings with an elevator_comma_ etc..?,Yes_comma_ as long as I am with someone.
you able to go up in buildings with an elevator_comma_ etc..? <sep> Yes_comma_ as long as I am with someone.,Has it ever caused you to not be able to enjoy certain things in life?
I had to have some extra tests ran a few weeks back due to an unclear mammogram.,Were the results good or bad?
some extra tests ran a few weeks back due to an unclear mammogram. <sep> Were the results good or bad?,Finally they came in a few days later and all is clear thank goodness.  But that was a harrowing few days!
came in a few days later and all is clear thank goodness.  But that was a harrowing few days!,Yes I am sure it was.
When I first met my nephew as a baby_comma_ I was awe-struck,aww he must be adorable.
When I first met my nephew as a baby_comma_ I was awe-struck <sep> aww he must be adorable.,He was and still is. He has gotten to be kind of wild though haha.
he must be adorable. <sep> He was and still is. He has gotten to be kind of wild though haha.,hahah how old is he?!
was and still is. He has gotten to be kind of wild though haha. <sep> hahah how old is he?!,He is 12
so I'm buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage.,Oh_comma_ that is exciting. How big is your house?
about all the expenses that might happen besides the mortgage. <sep> Oh_comma_ that is exciting. How big is your house?,It's a small 3 bedroom home_comma_ 1 level. It's just me and my elderly mom.
big is your house? <sep> It's a small 3 bedroom home_comma_ 1 level. It's just me and my elderly mom.,Oh_comma_ that sounds nice. What's your occupation?
in law.  She refuses to take her kids to the doctor for checkups or even when they are sick.,Wow that's pretty bad parenting.
take her kids to the doctor for checkups or even when they are sick. <sep> Wow that's pretty bad parenting.,That's what my husband and I think.  I mean even when they were babies and would run 103 fever_comma_ she wouldn't take them.  I just do not understand that at all - they are both grown now but she's pretty uninvolved with either of them.
do not understand that at all - they are both grown now but she's pretty uninvolved with either of them.,Is it for religious reasons
I wish I didn't cheat on my now ex-gf,Hindsight and all that - do you miss her?
I wish I didn't cheat on my now ex-gf <sep> Hindsight and all that - do you miss her?,Yes a lot.  I've accepted it but it's hard letting go
all that - do you miss her? <sep> Yes a lot.  I've accepted it but it's hard letting go,Perhaps she may forgive you?  It's always worth a try_comma_ sometimes you just need some time and some growth before you can revisit mistakes that have happened.
worth a try_comma_ sometimes you just need some time and some growth before you can revisit mistakes that have happened.,Thanks. 
I have fun plans this weekend over a friends house.,What are your plans?
I have fun plans this weekend over a friends house. <sep> What are your plans?,My friend is having a drink and paint party. I've only been to one before but it was pretty fun. I can't wait.
having a drink and paint party. I've only been to one before but it was pretty fun. I can't wait.,Wow_comma_ that sounds like a fun and interesting time_comma_ but it sounds like there are a high chance for things to go south and be a huge mess
Just injured my ankle. Now I can't work,Oh no! I'm sorry to hear that. How deid it happen?
Just injured my ankle. Now I can't work <sep> Oh no! I'm sorry to hear that. How deid it happen?,Slipped on a wet floor while hurrying to get to a patient. There was no sign.
deid it happen? <sep> Slipped on a wet floor while hurrying to get to a patient. There was no sign.,Are you going to sue? You could get a whole new leg!
I am trying my best to go on a diet. It's not going well.,How much would you like to lose?
trying my best to go on a diet. It's not going well. <sep> How much would you like to lose?,20 pounds. I always eat just because I have food. Maybe if I bought less food_comma_ it would be easier. 
pounds. I always eat just because I have food. Maybe if I bought less food_comma_ it would be easier. ,Sounds like a plan! You can also try to see if there is less calorie version of foods you like.
Sounds like a plan! You can also try to see if there is less calorie version of foods you like.,I tried that they don't taste as good. I am doomed.
I'm finding it super hard to move on from my last relationship.,I know how that can be such a struggle.  How long has it been and why did it end?
I know how that can be such a struggle.  How long has it been and why did it end?,Thanks.  I messed it up by cheating on her.  It's been 5 months
